"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
0,"100% : 0%",0,120.0,"",120.0,"",120.0,27.0,"",27.0,0.3982157844661278,"",0.3982157844661278,"aneja"
1,"90% : 10%",0,108.0,12.0,101.95099099999999,12.0,113.95099099999999,24.0,358.0,382.0,0.39804680786443347,0.4036779950438053,0.4036779950438053,"aneja"
2,"80% : 20%",0,96.0,24.0,90.543035,24.0,114.543035,24.0,561.0,585.0,0.39804680786443347,0.40507302872697454,0.40507302872697454,"aneja"
3,"70% : 30%",0,84.0,36.0,78.133605,36.0,114.133605,24.0,664.0,688.0,0.3980763827508935,0.405131203775822,0.405131203775822,"aneja"
4,"60% : 40%",0,72.0,48.0,66.33399,48.0,114.33399,23.0,757.0,780.0,0.39041310474168983,0.40533757215923893,0.40533757215923893,"aneja"
5,"50% : 50%",0,60.0,60.0,54.403739,60.0,114.403739,18.0,770.0,788.0,0.3895544755397458,0.40534052558850037,0.40534052558850037,"aneja"
6,"40% : 60%",0,48.0,72.0,46.50932199999999,67.0,113.509322,16.0,777.0,793.0,0.38935671870142236,0.4053363432466127,0.4053363432466127,"aneja"
7,"30% : 70%",0,36.0,84.0,36.0,80.0,116.0,13.0,767.0,780.0,0.37259379355948935,0.40526629032803063,0.40526629032803063,"aneja"
8,"20% : 80%",0,24.0,96.0,24.0,82.0,106.0,9.0,789.0,798.0,0.3715288565412384,0.4052532831050135,0.4052532831050135,"aneja"
9,"10% : 90%",0,12.0,108.0,12.0,71.0,83.0,5.0,795.0,800.0,0.32662659861908805,0.40525220047015365,0.40525220047015365,"aneja"
10,"0% : 100%",0,"",120.0,"",120.0,120.0,"",301.0,301.0,"",0.4014173361450673,0.4014173361450673,"aneja"
11,"100% : 0%",1,120.0,"",120.0,"",120.0,27.0,"",27.0,0.3982157844661278,"",0.3982157844661278,"aneja"
12,"90% : 10%",1,108.0,12.0,101.97058200000001,12.0,113.97058200000001,24.0,361.0,385.0,0.39804680786443347,0.40367978495071477,0.40367978495071477,"aneja"
13,"80% : 20%",1,96.0,24.0,90.537892,24.0,114.537892,24.0,561.0,585.0,0.39804680786443347,0.4050737596792162,0.4050737596792162,"aneja"
14,"70% : 30%",1,84.0,36.0,84.0,36.0,120.0,23.0,668.0,691.0,0.39055699480740247,0.40522696468378006,0.40522696468378006,"aneja"
15,"60% : 40%",1,72.0,48.0,67.218001,48.0,115.218001,23.0,738.0,761.0,0.39047282531120486,0.4053330364114956,0.4053330364114956,"aneja"
16,"50% : 50%",1,60.0,60.0,60.0,60.0,120.0,18.0,770.0,788.0,0.3895544755397458,0.40534052558850037,0.40534052558850037,"aneja"
17,"40% : 60%",1,48.0,72.0,48.0,68.0,116.0,15.0,778.0,793.0,0.38933193819957385,0.4052663934015547,0.4052663934015547,"aneja"
18,"30% : 70%",1,36.0,84.0,36.0,81.0,117.0,13.0,767.0,780.0,0.37259379355948935,0.40526629032803063,0.40526629032803063,"aneja"
19,"20% : 80%",1,24.0,96.0,24.0,84.0,108.0,9.0,789.0,798.0,0.3715288565412384,0.4052532831050135,0.4052532831050135,"aneja"
20,"10% : 90%",1,12.0,108.0,12.0,72.0,84.0,5.0,795.0,800.0,0.32662659861908805,0.40525220047015365,0.40525220047015365,"aneja"
21,"0% : 100%",1,"",120.0,"",120.0,120.0,"",303.0,303.0,"",0.4014173381981998,0.4014173381981998,"aneja"
22,"100% : 0%",2,120.0,"",120.0,"",120.0,27.0,"",27.0,0.3982157844661278,"",0.3982157844661278,"aneja"
23,"90% : 10%",2,108.0,12.0,102.497247,12.0,114.497247,24.0,366.0,390.0,0.39804680786443347,0.4036809961737788,0.4036809961737788,"aneja"
24,"80% : 20%",2,96.0,24.0,90.48160600000001,24.0,114.48160600000001,24.0,569.0,593.0,0.39804680786443347,0.4050737728557357,0.4050737728557357,"aneja"
25,"70% : 30%",2,84.0,36.0,78.28276399999999,36.0,114.28276399999999,24.0,663.0,687.0,0.3980763827508935,0.40513119650399115,0.40513119650399115,"aneja"
26,"60% : 40%",2,72.0,48.0,72.0,48.0,120.0,22.0,745.0,767.0,0.390003761218856,0.4053373172677859,0.4053373172677859,"aneja"
27,"50% : 50%",2,60.0,60.0,54.70837499999999,60.0,114.70837499999999,20.0,767.0,787.0,0.3897587245829286,0.4053456016921384,0.4053456016921384,"aneja"
28,"40% : 60%",2,48.0,72.0,48.0,68.0,116.0,15.0,778.0,793.0,0.38933193819957385,0.4052663934015547,0.4052663934015547,"aneja"
29,"30% : 70%",2,36.0,84.0,36.0,78.0,114.0,13.0,767.0,780.0,0.37259379355948935,0.40526629032803063,0.40526629032803063,"aneja"
30,"20% : 80%",2,24.0,96.0,24.0,83.0,107.0,9.0,789.0,798.0,0.3715288565412384,0.4052532831050135,0.4052532831050135,"aneja"
31,"10% : 90%",2,12.0,108.0,12.0,71.0,83.0,5.0,795.0,800.0,0.32662659861908805,0.40525220047015365,0.40525220047015365,"aneja"
32,"0% : 100%",2,"",120.0,"",120.0,120.0,"",314.0,314.0,"",0.40137357099065185,0.40137357099065185,"aneja"
33,"100% : 0%",3,120.0,"",120.0,"",120.0,27.0,"",27.0,0.3982157844661278,"",0.3982157844661278,"aneja"
34,"90% : 10%",3,108.0,12.0,102.44869300000002,12.0,114.44869300000002,24.0,361.0,385.0,0.39804680786443347,0.4036792146297448,0.4036792146297448,"aneja"
35,"80% : 20%",3,96.0,24.0,90.584919,24.0,114.584919,24.0,569.0,593.0,0.39804680786443347,0.4050737728557357,0.4050737728557357,"aneja"
36,"70% : 30%",3,84.0,36.0,84.0,36.0,120.0,23.0,661.0,684.0,0.39055699480740247,0.40522695834326516,0.40522695834326516,"aneja"
37,"60% : 40%",3,72.0,48.0,66.62492,48.0,114.62492,23.0,740.0,763.0,0.39041310474168983,0.40533265725598283,0.40533265725598283,"aneja"
38,"50% : 50%",3,60.0,60.0,60.0,60.0,120.0,18.0,770.0,788.0,0.3895544755397458,0.40534052558850037,0.40534052558850037,"aneja"
39,"40% : 60%",3,48.0,72.0,48.0,68.0,116.0,15.0,778.0,793.0,0.38933193819957385,0.4052663934015547,0.4052663934015547,"aneja"
40,"30% : 70%",3,36.0,84.0,36.0,80.0,116.0,13.0,767.0,780.0,0.37259379355948935,0.40526629032803063,0.40526629032803063,"aneja"
41,"20% : 80%",3,24.0,96.0,24.0,82.0,106.0,9.0,789.0,798.0,0.3715288565412384,0.4052532831050135,0.4052532831050135,"aneja"
42,"10% : 90%",3,12.0,108.0,12.0,70.0,82.0,5.0,795.0,800.0,0.32662659861908805,0.40525220047015365,0.40525220047015365,"aneja"
43,"0% : 100%",3,"",120.0,"",120.0,120.0,"",305.0,305.0,"",0.40141746419128893,0.40141746419128893,"aneja"
44,"100% : 0%",4,120.0,"",120.0,"",120.0,27.0,"",27.0,0.3982157844661278,"",0.3982157844661278,"aneja"
45,"90% : 10%",4,108.0,12.0,102.652454,12.0,114.652454,24.0,361.0,385.0,0.39804680786443347,0.4036767574589629,0.4036767574589629,"aneja"
46,"80% : 20%",4,96.0,24.0,90.49014799999999,24.0,114.49014799999999,24.0,572.0,596.0,0.39804680786443347,0.40507377741042744,0.40507377741042744,"aneja"
47,"70% : 30%",4,84.0,36.0,84.0,36.0,120.0,23.0,668.0,691.0,0.39055699480740247,0.40522696468378006,0.40522696468378006,"aneja"
48,"60% : 40%",4,72.0,48.0,66.49033100000001,48.0,114.49033100000001,23.0,741.0,764.0,0.39041310474168983,0.4053327757774914,0.4053327757774914,"aneja"
49,"50% : 50%",4,60.0,60.0,60.0,60.0,120.0,18.0,760.0,778.0,0.3895544755397458,0.4053405143854481,0.4053405143854481,"aneja"
50,"40% : 60%",4,48.0,72.0,48.0,68.0,116.0,15.0,778.0,793.0,0.38933193819957385,0.4052663934015547,0.4052663934015547,"aneja"
51,"30% : 70%",4,36.0,84.0,36.0,80.0,116.0,13.0,767.0,780.0,0.37259379355948935,0.40526629032803063,0.40526629032803063,"aneja"
52,"20% : 80%",4,24.0,96.0,24.0,85.0,109.0,9.0,789.0,798.0,0.3715288565412384,0.4052532831050135,0.4052532831050135,"aneja"
53,"10% : 90%",4,12.0,108.0,12.0,72.0,84.0,5.0,795.0,800.0,0.32662659861908805,0.40525220047015365,0.40525220047015365,"aneja"
54,"0% : 100%",4,"",120.0,"",120.0,120.0,"",325.0,325.0,"",0.40141826343276116,0.40141826343276116,"aneja"
55,"100% : 0%",5,120.0,"",120.0,"",120.0,25.0,"",25.0,0.39811308423759084,"",0.39811308423759084,"aneja"
56,"90% : 10%",5,108.0,12.0,102.323793,12.0,114.323793,24.0,349.0,373.0,0.39804680786443347,0.4036664799391671,0.4036664799391671,"aneja"
57,"80% : 20%",5,96.0,24.0,90.14739900000001,24.0,114.14739900000001,24.0,562.0,586.0,0.39804680786443347,0.4050737612197896,0.4050737612197896,"aneja"
