"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
0,"100% : 0%",0,120.0,"",120.0,"",120.0,122.0,"",122.0,0.2850112531791641,"",0.2850112531791641,"aneja"
1,"90% : 10%",0,108.0,12.0,108.0,1.0,109.0,120.0,9.0,129.0,0.28501107309806556,0.2850392871412577,0.2850392871412577,"aneja"
2,"80% : 20%",0,96.0,24.0,96.0,1.0,97.0,117.0,12.0,129.0,0.2850110665173594,0.2850392871412577,0.2850392871412577,"aneja"
3,"70% : 30%",0,84.0,36.0,84.0,1.0,85.0,111.0,16.0,127.0,0.2850098443662629,0.28503924173162964,0.28503924173162964,"aneja"
4,"60% : 40%",0,72.0,48.0,72.0,1.0,73.0,107.0,19.0,126.0,0.2850089175841072,0.28503922943615023,0.28503922943615023,"aneja"
5,"50% : 50%",0,60.0,60.0,60.0,1.0,61.0,103.0,20.0,123.0,0.28500773774094473,0.28503919925641014,0.28503919925641014,"aneja"
6,"40% : 60%",0,48.0,72.0,48.0,1.0,49.0,94.0,29.0,123.0,0.2849960443637874,0.28503919925641014,0.28503919925641014,"aneja"
7,"30% : 70%",0,36.0,84.0,36.0,1.0,37.0,73.0,48.0,121.0,0.2849746340115433,0.28503911798566395,0.28503911798566395,"aneja"
8,"20% : 80%",0,24.0,96.0,24.0,1.0,25.0,62.0,56.0,118.0,0.2849724456175489,0.2850381717059709,0.2850381717059709,"aneja"
9,"10% : 90%",0,12.0,108.0,12.0,1.0,13.0,35.0,78.0,113.0,0.28456272229972535,0.28503759257142075,0.28503759257142075,"aneja"
10,"0% : 100%",0,"",120.0,"",4.0,4.0,"",83.0,83.0,"",0.2786948252966722,0.2786948252966722,"aneja"
11,"100% : 0%",1,120.0,"",120.0,"",120.0,122.0,"",122.0,0.2850112531791641,"",0.2850112531791641,"aneja"
12,"90% : 10%",1,108.0,12.0,108.0,1.0,109.0,120.0,9.0,129.0,0.28501107309806556,0.2850392871412577,0.2850392871412577,"aneja"
13,"80% : 20%",1,96.0,24.0,96.0,1.0,97.0,117.0,12.0,129.0,0.2850110665173594,0.2850392871412577,0.2850392871412577,"aneja"
14,"70% : 30%",1,84.0,36.0,84.0,1.0,85.0,114.0,13.0,127.0,0.28501019766151003,0.28503924173162964,0.28503924173162964,"aneja"
15,"60% : 40%",1,72.0,48.0,72.0,1.0,73.0,107.0,19.0,126.0,0.2850089175841072,0.28503922943615023,0.28503922943615023,"aneja"
16,"50% : 50%",1,60.0,60.0,60.0,1.0,61.0,103.0,20.0,123.0,0.28500773774094473,0.28503919925641014,0.28503919925641014,"aneja"
17,"40% : 60%",1,48.0,72.0,48.0,1.0,49.0,94.0,29.0,123.0,0.2849960443637874,0.28503919925641014,0.28503919925641014,"aneja"
18,"30% : 70%",1,36.0,84.0,36.0,1.0,37.0,74.0,47.0,121.0,0.2849746360926352,0.28503911798566395,0.28503911798566395,"aneja"
19,"20% : 80%",1,24.0,96.0,24.0,1.0,25.0,62.0,56.0,118.0,0.2849724456175489,0.2850381717059709,0.2850381717059709,"aneja"
20,"10% : 90%",1,12.0,108.0,12.0,1.0,13.0,34.0,79.0,113.0,0.28453664661224876,0.28503759257142075,0.28503759257142075,"aneja"
21,"0% : 100%",1,"",120.0,"",4.0,4.0,"",83.0,83.0,"",0.2786948252966722,0.2786948252966722,"aneja"
22,"100% : 0%",2,120.0,"",120.0,"",120.0,122.0,"",122.0,0.2850112531791641,"",0.2850112531791641,"aneja"
23,"90% : 10%",2,108.0,12.0,108.0,1.0,109.0,120.0,9.0,129.0,0.28501107309806556,0.2850392871412577,0.2850392871412577,"aneja"
24,"80% : 20%",2,96.0,24.0,96.0,1.0,97.0,117.0,12.0,129.0,0.2850110665173594,0.2850392871412577,0.2850392871412577,"aneja"
25,"70% : 30%",2,84.0,36.0,84.0,1.0,85.0,116.0,11.0,127.0,0.2850109386427768,0.28503924173162964,0.28503924173162964,"aneja"
26,"60% : 40%",2,72.0,48.0,72.0,1.0,73.0,106.0,20.0,126.0,0.28500889148273867,0.28503922943615023,0.28503922943615023,"aneja"
27,"50% : 50%",2,60.0,60.0,60.0,1.0,61.0,103.0,20.0,123.0,0.28500773774094473,0.28503919925641014,0.28503919925641014,"aneja"
28,"40% : 60%",2,48.0,72.0,48.0,1.0,49.0,96.0,27.0,123.0,0.28499903283971617,0.28503919925641014,0.28503919925641014,"aneja"
29,"30% : 70%",2,36.0,84.0,36.0,1.0,37.0,73.0,48.0,121.0,0.2849746340115433,0.28503911798566395,0.28503911798566395,"aneja"
30,"20% : 80%",2,24.0,96.0,24.0,1.0,25.0,62.0,56.0,118.0,0.2849724456175489,0.2850381717059709,0.2850381717059709,"aneja"
31,"10% : 90%",2,12.0,108.0,12.0,1.0,13.0,34.0,79.0,113.0,0.28453664661224876,0.28503759257142075,0.28503759257142075,"aneja"
