"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
0,"100% : 0%",0,120.0,"",120.0,"",120.0,23.0,"",23.0,0.4164185730021045,"",0.4164185730021045,"aneja"
1,"90% : 10%",0,108.0,12.0,108.0,12.0,120.0,20.0,187.0,207.0,0.41195997217604596,0.41911128737031644,0.41911128737031644,"aneja"
2,"80% : 20%",0,96.0,24.0,89.90639,24.0,113.90639,20.0,247.0,267.0,0.41195997217604596,0.4192982849037623,0.4192982849037623,"aneja"
3,"70% : 30%",0,84.0,36.0,77.94183199999999,36.0,113.94183199999999,20.0,297.0,317.0,0.4119669176981371,0.41934986126530216,0.41934986126530216,"aneja"
4,"60% : 40%",0,72.0,48.0,66.04607999999999,42.0,108.04607999999999,18.0,292.0,310.0,0.411840593592603,0.4193384528316123,0.4193384528316123,"aneja"
5,"50% : 50%",0,60.0,60.0,60.0,43.0,103.0,15.0,294.0,309.0,0.4117975455458301,0.4193384528316123,0.4193384528316123,"aneja"
6,"40% : 60%",0,48.0,72.0,48.0,42.0,90.0,12.0,294.0,306.0,0.41176643432422144,0.4193271550762643,0.4193271550762643,"aneja"
7,"30% : 70%",0,36.0,84.0,36.0,43.0,79.0,9.0,295.0,304.0,0.4020853349777196,0.41932492548459566,0.41932492548459566,"aneja"
8,"20% : 80%",0,24.0,96.0,21.913952000000002,43.0,64.913952,7.0,293.0,300.0,0.4019704664809445,0.4192907741294445,0.4192907741294445,"aneja"
9,"10% : 90%",0,12.0,108.0,12.057102,59.0,71.057102,5.0,326.0,331.0,0.34199039194040354,0.4191408043747116,0.4191408043747116,"aneja"
10,"0% : 100%",0,"",120.0,"",120.0,120.0,"",196.0,196.0,"",0.3549930646555538,0.3549930646555538,"aneja"
11,"100% : 0%",1,120.0,"",120.0,"",120.0,23.0,"",23.0,0.4164185730021045,"",0.4164185730021045,"aneja"
12,"90% : 10%",1,108.0,12.0,100.801262,12.0,112.801262,20.0,187.0,207.0,0.41195997217604596,0.41911128737031644,0.41911128737031644,"aneja"
13,"80% : 20%",1,96.0,24.0,89.889089,24.0,113.889089,20.0,245.0,265.0,0.41195997217604596,0.41929881788756884,0.41929881788756884,"aneja"
14,"70% : 30%",1,84.0,36.0,84.0,36.0,120.0,19.0,299.0,318.0,0.41195326036314633,0.4193498636601647,0.4193498636601647,"aneja"
15,"60% : 40%",1,72.0,48.0,72.0,42.0,114.0,18.0,292.0,310.0,0.411840593592603,0.4193384528316123,0.4193384528316123,"aneja"
16,"50% : 50%",1,60.0,60.0,60.0,43.0,103.0,15.0,294.0,309.0,0.4117975455458301,0.4193384528316123,0.4193384528316123,"aneja"
17,"40% : 60%",1,48.0,72.0,48.0,42.0,90.0,12.0,294.0,306.0,0.41176643432422144,0.4193271550762643,0.4193271550762643,"aneja"
18,"30% : 70%",1,36.0,84.0,36.0,43.0,79.0,9.0,295.0,304.0,0.4020853349777196,0.41932492548459566,0.41932492548459566,"aneja"
19,"20% : 80%",1,24.0,96.0,21.901812,43.0,64.901812,7.0,293.0,300.0,0.4019704664809445,0.4192907741294445,0.4192907741294445,"aneja"
20,"10% : 90%",1,12.0,108.0,12.062385999999998,59.0,71.062386,5.0,326.0,331.0,0.34199039194040354,0.4191408043747116,0.4191408043747116,"aneja"
21,"0% : 100%",1,"",120.0,"",120.0,120.0,"",184.0,184.0,"",0.35516530635407684,0.35516530635407684,"aneja"
22,"100% : 0%",2,120.0,"",120.0,"",120.0,24.0,"",24.0,0.4164230932567204,"",0.4164230932567204,"aneja"
23,"90% : 10%",2,108.0,12.0,108.0,12.0,120.0,21.0,186.0,207.0,0.41202488042815105,0.4191111134050174,0.4191111134050174,"aneja"
24,"80% : 20%",2,96.0,24.0,89.921231,24.0,113.921231,20.0,243.0,263.0,0.41195997217604596,0.4192864068540968,0.4192864068540968,"aneja"
25,"70% : 30%",2,84.0,36.0,84.0,36.0,120.0,19.0,299.0,318.0,0.41195326036314633,0.4193498636601647,0.4193498636601647,"aneja"
26,"60% : 40%",2,72.0,48.0,72.0,42.0,114.0,18.0,292.0,310.0,0.411840593592603,0.4193384528316123,0.4193384528316123,"aneja"
27,"50% : 50%",2,60.0,60.0,60.0,43.0,103.0,15.0,294.0,309.0,0.4117975455458301,0.4193384528316123,0.4193384528316123,"aneja"
28,"40% : 60%",2,48.0,72.0,48.0,42.0,90.0,12.0,294.0,306.0,0.41176643432422144,0.4193271550762643,0.4193271550762643,"aneja"
29,"30% : 70%",2,36.0,84.0,36.0,44.0,80.0,9.0,295.0,304.0,0.4020853349777196,0.41932492548459566,0.41932492548459566,"aneja"
30,"20% : 80%",2,24.0,96.0,21.98223,43.0,64.98223,7.0,293.0,300.0,0.4019704664809445,0.4192907741294445,0.4192907741294445,"aneja"
31,"10% : 90%",2,12.0,108.0,12.050596,59.0,71.050596,5.0,326.0,331.0,0.34199039194040354,0.4191408043747116,0.4191408043747116,"aneja"
32,"0% : 100%",2,"",120.0,"",120.0,120.0,"",184.0,184.0,"",0.35516530635407684,0.35516530635407684,"aneja"
33,"100% : 0%",3,120.0,"",120.0,"",120.0,24.0,"",24.0,0.4164230932567204,"",0.4164230932567204,"aneja"
34,"90% : 10%",3,108.0,12.0,101.850533,12.0,113.850533,21.0,186.0,207.0,0.41203333944926884,0.4191207269035744,0.4191207269035744,"aneja"
35,"80% : 20%",3,96.0,24.0,89.849394,24.0,113.849394,20.0,245.0,265.0,0.41195997217604596,0.41929881788756884,0.41929881788756884,"aneja"
36,"70% : 30%",3,84.0,36.0,84.0,36.0,120.0,19.0,299.0,318.0,0.41195326036314633,0.4193498636601647,0.4193498636601647,"aneja"
37,"60% : 40%",3,72.0,48.0,72.0,42.0,114.0,18.0,292.0,310.0,0.411840593592603,0.4193384528316123,0.4193384528316123,"aneja"
38,"50% : 50%",3,60.0,60.0,60.0,42.0,102.0,15.0,294.0,309.0,0.4117975455458301,0.4193384528316123,0.4193384528316123,"aneja"
39,"40% : 60%",3,48.0,72.0,48.0,44.0,92.0,12.0,294.0,306.0,0.41176643432422144,0.4193271550762643,0.4193271550762643,"aneja"
40,"30% : 70%",3,36.0,84.0,36.0,44.0,80.0,9.0,295.0,304.0,0.4020853349777196,0.41932492548459566,0.41932492548459566,"aneja"
41,"20% : 80%",3,24.0,96.0,21.934715999999998,44.0,65.934716,7.0,293.0,300.0,0.4019704664809445,0.4192907741294445,0.4192907741294445,"aneja"
