"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
0,"100% : 0%",0,120.0,"",65.29369800000002,"",65.29369800000002,196.0,"",196.0,0.7702188344454267,"",0.7702188344454267,"aneja"
1,"90% : 10%",0,108.0,12.0,108.0,7.0,115.0,177.0,256.0,433.0,0.7701995430271954,0.770304212713623,0.770304212713623,"aneja"
2,"80% : 20%",0,96.0,24.0,96.0,7.0,103.0,170.0,262.0,432.0,0.7701957765218267,0.770304073737851,0.770304073737851,"aneja"
3,"70% : 30%",0,84.0,36.0,53.234541000000014,7.0,60.234541000000014,159.0,270.0,429.0,0.7701918406928675,0.7703035829789668,0.7703035829789668,"aneja"
4,"60% : 40%",0,72.0,48.0,72.0,8.0,80.0,140.0,306.0,446.0,0.7700697111586221,0.7702827726362138,0.7702827726362138,"aneja"
5,"50% : 50%",0,60.0,60.0,60.0,8.0,68.0,125.0,312.0,437.0,0.7700436514805024,0.7702797788428327,0.7702797788428327,"aneja"
6,"40% : 60%",0,48.0,72.0,48.0,7.0,55.0,106.0,262.0,368.0,0.7697643367213555,0.7702729290165531,0.7702729290165531,"aneja"
7,"30% : 70%",0,36.0,84.0,36.0,6.0,42.0,91.0,271.0,362.0,0.7697002472178819,0.7702631823815913,0.7702631823815913,"aneja"
8,"20% : 80%",0,24.0,96.0,24.0,7.0,31.0,64.0,301.0,365.0,0.7690493717687826,0.7702237268825708,0.7702237268825708,"aneja"
9,"10% : 90%",0,12.0,108.0,12.0,8.0,20.0,37.0,370.0,407.0,0.7673705525940552,0.7702137891479213,0.7702137891479213,"aneja"
10,"0% : 100%",0,"",120.0,"",23.0,23.0,"",387.0,387.0,"",0.7700486458056027,0.7700486458056027,"aneja"
11,"100% : 0%",1,120.0,"",120.0,"",120.0,195.0,"",195.0,0.7702183963210487,"",0.7702183963210487,"aneja"
12,"90% : 10%",1,108.0,12.0,108.0,7.0,115.0,176.0,257.0,433.0,0.7701994040514235,0.770304212713623,0.770304212713623,"aneja"
13,"80% : 20%",1,96.0,24.0,96.0,7.0,103.0,170.0,262.0,432.0,0.7701957765218267,0.770304073737851,0.770304073737851,"aneja"
14,"70% : 30%",1,84.0,36.0,53.19798999999999,7.0,60.19798999999999,159.0,270.0,429.0,0.7701918406928675,0.7703035829789668,0.7703035829789668,"aneja"
15,"60% : 40%",1,72.0,48.0,72.0,8.0,80.0,141.0,305.0,446.0,0.7700710451972316,0.7702829058895838,0.7702829058895838,"aneja"
16,"50% : 50%",1,60.0,60.0,60.0,8.0,68.0,125.0,312.0,437.0,0.7700436514805024,0.7702797788428327,0.7702797788428327,"aneja"
17,"40% : 60%",1,48.0,72.0,48.0,7.0,55.0,108.0,263.0,371.0,0.7697982003327976,0.7702751531660019,0.7702751531660019,"aneja"
18,"30% : 70%",1,36.0,84.0,36.0,7.0,43.0,89.0,271.0,360.0,0.7696964231971686,0.7702628410831418,0.7702628410831418,"aneja"
19,"20% : 80%",1,24.0,96.0,24.0,7.0,31.0,64.0,301.0,365.0,0.7690493717687826,0.7702237268825708,0.7702237268825708,"aneja"
20,"10% : 90%",1,12.0,108.0,10.748140999999999,8.0,18.748140999999997,38.0,373.0,411.0,0.7673717778391994,0.7702154583360812,0.7702154583360812,"aneja"
