"","ratio","iteration","exact_solver_timeout","heuristic_timeout","exact_solver_exec_time","heuristic_exec_time","total_exec_time","exact_solver_new_solutions_count","heuristic_new_solutions_count","total_solutions_count","exact_solver_hypervolume","heuristic_hypervolume","final_hypervolume","method"
0,"100% : 0%",0,120.0,"",120.0,"",120.0,45.0,"",45.0,0.016539647073304138,"",0.016539647073304138,"aneja"
1,"90% : 10%",0,108.0,12.0,108.0,1.0,109.0,44.0,5.0,49.0,0.016539634818224923,0.016540613561468215,0.016540613561468215,"aneja"
2,"80% : 20%",0,96.0,24.0,96.0,1.0,97.0,44.0,5.0,49.0,0.016539634818224923,0.016540613561468215,0.016540613561468215,"aneja"
3,"70% : 30%",0,84.0,36.0,84.0,1.0,85.0,41.0,8.0,49.0,0.01653871936642383,0.016540613561468215,0.016540613561468215,"aneja"
4,"60% : 40%",0,72.0,48.0,72.0,1.0,73.0,36.0,12.0,48.0,0.016532939692796247,0.016540613407276573,0.016540613407276573,"aneja"
5,"50% : 50%",0,60.0,60.0,60.0,1.0,61.0,34.0,13.0,47.0,0.016532535156957986,0.016540522012004347,0.016540522012004347,"aneja"
6,"40% : 60%",0,48.0,72.0,48.0,1.0,49.0,32.0,15.0,47.0,0.016532325155693778,0.016540522012004347,0.016540522012004347,"aneja"
7,"30% : 70%",0,36.0,84.0,36.0,1.0,37.0,26.0,19.0,45.0,0.016524631551078587,0.016540490310161374,0.016540490310161374,"aneja"
8,"20% : 80%",0,24.0,96.0,24.0,1.0,25.0,18.0,26.0,44.0,0.016507948314511342,0.016540329187773248,0.016540329187773248,"aneja"
9,"10% : 90%",0,12.0,108.0,12.0,1.0,13.0,9.0,35.0,44.0,0.016192213778755984,0.016539465275857524,0.016539465275857524,"aneja"
10,"0% : 100%",0,"",120.0,"",6.0,6.0,"",37.0,37.0,"",0.015245996659751923,0.015245996659751923,"aneja"
11,"100% : 0%",1,120.0,"",120.0,"",120.0,45.0,"",45.0,0.016539647073304138,"",0.016539647073304138,"aneja"
12,"90% : 10%",1,108.0,12.0,108.0,1.0,109.0,44.0,5.0,49.0,0.016539634818224923,0.016540613561468215,0.016540613561468215,"aneja"
13,"80% : 20%",1,96.0,24.0,96.0,1.0,97.0,43.0,6.0,49.0,0.016538748868222885,0.016540613561468215,0.016540613561468215,"aneja"
14,"70% : 30%",1,84.0,36.0,84.0,1.0,85.0,41.0,8.0,49.0,0.01653871936642383,0.016540613561468215,0.016540613561468215,"aneja"
15,"60% : 40%",1,72.0,48.0,72.0,1.0,73.0,36.0,12.0,48.0,0.016532939692796247,0.016540613407276573,0.016540613407276573,"aneja"
16,"50% : 50%",1,60.0,60.0,60.0,1.0,61.0,34.0,13.0,47.0,0.016532535156957986,0.016540522012004347,0.016540522012004347,"aneja"
17,"40% : 60%",1,48.0,72.0,48.0,1.0,49.0,32.0,15.0,47.0,0.016532325155693778,0.016540522012004347,0.016540522012004347,"aneja"
18,"30% : 70%",1,36.0,84.0,36.0,1.0,37.0,26.0,19.0,45.0,0.016524631551078587,0.016540490310161374,0.016540490310161374,"aneja"
19,"20% : 80%",1,24.0,96.0,24.0,1.0,25.0,18.0,26.0,44.0,0.016507948314511342,0.016540329187773248,0.016540329187773248,"aneja"
20,"10% : 90%",1,12.0,108.0,12.0,1.0,13.0,9.0,35.0,44.0,0.016192213778755984,0.016539465275857524,0.016539465275857524,"aneja"
21,"0% : 100%",1,"",120.0,"",6.0,6.0,"",37.0,37.0,"",0.015245996659751923,0.015245996659751923,"aneja"
22,"100% : 0%",2,120.0,"",120.0,"",120.0,45.0,"",45.0,0.016539647073304138,"",0.016539647073304138,"aneja"
23,"90% : 10%",2,108.0,12.0,108.0,1.0,109.0,44.0,5.0,49.0,0.016539634818224923,0.016540613561468215,0.016540613561468215,"aneja"
24,"80% : 20%",2,96.0,24.0,96.0,1.0,97.0,43.0,6.0,49.0,0.016538748868222885,0.016540613561468215,0.016540613561468215,"aneja"
25,"70% : 30%",2,84.0,36.0,84.0,1.0,85.0,41.0,8.0,49.0,0.01653871936642383,0.016540613561468215,0.016540613561468215,"aneja"
26,"60% : 40%",2,72.0,48.0,72.0,1.0,73.0,36.0,12.0,48.0,0.016532939692796247,0.016540613407276573,0.016540613407276573,"aneja"
27,"50% : 50%",2,60.0,60.0,60.0,1.0,61.0,34.0,13.0,47.0,0.016532535156957986,0.016540522012004347,0.016540522012004347,"aneja"
28,"40% : 60%",2,48.0,72.0,48.0,1.0,49.0,32.0,15.0,47.0,0.016532325155693778,0.016540522012004347,0.016540522012004347,"aneja"
29,"30% : 70%",2,36.0,84.0,36.0,1.0,37.0,26.0,19.0,45.0,0.016524631551078587,0.016540490310161374,0.016540490310161374,"aneja"
